index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
54,IR_CARBAMATE_PRESENCE,Carbamate resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4560,PUBLISHED,Published,,2009.0,2009,,AFR,Africa,,NGA,2009,2009,Nigeria,,Not tested/reported,,,,,,
55,IR_ORGANOPHOSPHATE_PRESENCE,Organophosphate resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4561,PUBLISHED,Published,,2002.0,2002,,AFR,Africa,,NGA,2002,2002,Nigeria,,Not tested/reported,,,,,,
56,IR_ORGANOPHOSPHATE_PRESENCE,Organophosphate resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4561,PUBLISHED,Published,,2003.0,2003,,AFR,Africa,,NGA,2003,2003,Nigeria,,Not tested/reported,,,,,,
57,IR_ORGANOPHOSPHATE_PRESENCE,Organophosphate resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4561,PUBLISHED,Published,,2011.0,2011,,AFR,Africa,,NGA,2011,2011,Nigeria,,Not tested/reported,,,,,,
58,IR_CARBAMATE_PRESENCE,Carbamate resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4560,PUBLISHED,Published,,2002.0,2002,,AFR,Africa,,NGA,2002,2002,Nigeria,,Not tested/reported,,,,,,
59,IR_CARBAMATE_PRESENCE,Carbamate resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4560,PUBLISHED,Published,,2003.0,2003,,AFR,Africa,,NGA,2003,2003,Nigeria,,Not tested/reported,,,,,,
60,IR_CARBAMATE_PRESENCE,Carbamate resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4560,PUBLISHED,Published,,2011.0,2011,,AFR,Africa,,NGA,2011,2011,Nigeria,,Not tested/reported,,,,,,
61,IR_ORGANOPHOSPHATE_PRESENCE,Organophosphate resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4561,PUBLISHED,Published,,2005.0,2005,,AFR,Africa,,NGA,2005,2005,Nigeria,,Not tested/reported,,,,,,
62,IR_CARBAMATE_PRESENCE,Carbamate resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4560,PUBLISHED,Published,,2000.0,2000,,AFR,Africa,,NGA,2000,2000,Nigeria,,Not tested/reported,,,,,,
63,IR_CARBAMATE_PRESENCE,Carbamate resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4560,PUBLISHED,Published,,2008.0,2008,,AFR,Africa,,NGA,2008,2008,Nigeria,,Not tested/reported,,,,,,
64,IR_ORGANOPHOSPHATE_PRESENCE,Organophosphate resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4561,PUBLISHED,Published,,2001.0,2001,,AFR,Africa,,NGA,2001,2001,Nigeria,,Not tested/reported,,,,,,
65,IR_CARBAMATE_PRESENCE,Carbamate resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4560,PUBLISHED,Published,,2001.0,2001,,AFR,Africa,,NGA,2001,2001,Nigeria,,Not tested/reported,,,,,,
66,IR_ORGANOPHOSPHATE_PRESENCE,Organophosphate resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4561,PUBLISHED,Published,,2008.0,2008,,AFR,Africa,,NGA,2008,2008,Nigeria,,Not tested/reported,,,,,,
67,IR_CARBAMATE_PRESENCE,Carbamate resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4560,PUBLISHED,Published,,2012.0,2012,,AFR,Africa,,NGA,2012,2012,Nigeria,,No,,,,,,
68,IR_ORGANOPHOSPHATE_PRESENCE,Organophosphate resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4561,PUBLISHED,Published,,2013.0,2013,,AFR,Africa,,NGA,2013,2013,Nigeria,,No,,,,,,
69,IR_CARBAMATE_PRESENCE,Carbamate resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4560,PUBLISHED,Published,,2013.0,2013,,AFR,Africa,,NGA,2013,2013,Nigeria,,No,,,,,,
70,IR_ORGANOPHOSPHATE_PRESENCE,Organophosphate resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4561,PUBLISHED,Published,,2012.0,2012,,AFR,Africa,,NGA,2012,2012,Nigeria,,No,,,,,,
71,IR_ORGANOPHOSPHATE_EXTENT,Percentage of sites for which organophosphate resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4565,PUBLISHED,Published,,2013.0,2013,,AFR,Africa,,NGA,2013,2013,Nigeria,,0,0.00000,,,,,
72,IR_PYRETHROID_EXTENT,Percentage of sites for which pyrethroid resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4562,PUBLISHED,Published,,2005.0,2005,,AFR,Africa,,NGA,2005,2005,Nigeria,,50,50.00000,,,,,
73,IR_PYRETHROID_EXTENT,Percentage of sites for which pyrethroid resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4562,PUBLISHED,Published,,2010.0,2010,,AFR,Africa,,NGA,2010,2010,Nigeria,,60,60.00000,,,,,
74,IR_PYRETHROID_EXTENT,Percentage of sites for which pyrethroid resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4562,PUBLISHED,Published,,2008.0,2008,,AFR,Africa,,NGA,2008,2008,Nigeria,,Not tested/reported,,,,,,
75,IR_PYRETHROID_EXTENT,Percentage of sites for which pyrethroid resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4562,PUBLISHED,Published,,2009.0,2009,,AFR,Africa,,NGA,2009,2009,Nigeria,,Not tested/reported,,,,,,
76,IR_PYRETHROID_EXTENT,Percentage of sites for which pyrethroid resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4562,PUBLISHED,Published,,2011.0,2011,,AFR,Africa,,NGA,2011,2011,Nigeria,,Not tested/reported,,,,,,
77,IR_CARBAMATE_EXTENT,Percentage of sites for which carbamate resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4564,PUBLISHED,Published,,2012.0,2012,,AFR,Africa,,NGA,2012,2012,Nigeria,,0,0.00000,,,,,
78,IR_ORGANOCHLORINE_EXTENT,Percentage of sites for which organochlorine resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4563,PUBLISHED,Published,,2013.0,2013,,AFR,Africa,,NGA,2013,2013,Nigeria,,100,100.00000,,,,,
79,IR_PYRETHROID_EXTENT,Percentage of sites for which pyrethroid resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4562,PUBLISHED,Published,,2002.0,2002,,AFR,Africa,,NGA,2002,2002,Nigeria,,Not tested/reported,,,,,,
80,IR_PYRETHROID_EXTENT,Percentage of sites for which pyrethroid resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4562,PUBLISHED,Published,,2006.0,2006,,AFR,Africa,,NGA,2006,2006,Nigeria,,50,50.00000,,,,,
81,IR_PYRETHROID_EXTENT,Percentage of sites for which pyrethroid resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4562,PUBLISHED,Published,,2013.0,2013,,AFR,Africa,,NGA,2013,2013,Nigeria,,75,75.00000,,,,,
82,IR_ORGANOCHLORINE_EXTENT,Percentage of sites for which organochlorine resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4563,PUBLISHED,Published,,2001.0,2001,,AFR,Africa,,NGA,2001,2001,Nigeria,,80,80.00000,,,,,
83,IR_ORGANOCHLORINE_EXTENT,Percentage of sites for which organochlorine resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4563,PUBLISHED,Published,,2004.0,2004,,AFR,Africa,,NGA,2004,2004,Nigeria,,100,100.00000,,,,,
84,IR_ORGANOCHLORINE_EXTENT,Percentage of sites for which organochlorine resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4563,PUBLISHED,Published,,2005.0,2005,,AFR,Africa,,NGA,2005,2005,Nigeria,,100,100.00000,,,,,
85,IR_ORGANOPHOSPHATE_EXTENT,Percentage of sites for which organophosphate resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4565,PUBLISHED,Published,,2012.0,2012,,AFR,Africa,,NGA,2012,2012,Nigeria,,0,0.00000,,,,,
86,IR_ORGANOCHLORINE_EXTENT,Percentage of sites for which organochlorine resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4563,PUBLISHED,Published,,2002.0,2002,,AFR,Africa,,NGA,2002,2002,Nigeria,,75,75.00000,,,,,
87,IR_CARBAMATE_EXTENT,Percentage of sites for which carbamate resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4564,PUBLISHED,Published,,2010.0,2010,,AFR,Africa,,NGA,2010,2010,Nigeria,,90,90.00000,,,,,
88,IR_ORGANOCHLORINE_EXTENT,Percentage of sites for which organochlorine resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4563,PUBLISHED,Published,,2010.0,2010,,AFR,Africa,,NGA,2010,2010,Nigeria,,100,100.00000,,,,,
89,IR_PYRETHROID_EXTENT,Percentage of sites for which pyrethroid resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4562,PUBLISHED,Published,,2000.0,2000,,AFR,Africa,,NGA,2000,2000,Nigeria,,Not tested/reported,,,,,,
90,IR_PYRETHROID_EXTENT,Percentage of sites for which pyrethroid resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4562,PUBLISHED,Published,,2003.0,2003,,AFR,Africa,,NGA,2003,2003,Nigeria,,Not tested/reported,,,,,,
91,IR_PYRETHROID_EXTENT,Percentage of sites for which pyrethroid resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4562,PUBLISHED,Published,,2004.0,2004,,AFR,Africa,,NGA,2004,2004,Nigeria,,Not tested/reported,,,,,,
92,IR_CARBAMATE_EXTENT,Percentage of sites for which carbamate resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4564,PUBLISHED,Published,,2013.0,2013,,AFR,Africa,,NGA,2013,2013,Nigeria,,0,0.00000,,,,,
93,IR_PYRETHROID_EXTENT,Percentage of sites for which pyrethroid resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4562,PUBLISHED,Published,,2012.0,2012,,AFR,Africa,,NGA,2012,2012,Nigeria,,50,50.00000,,,,,
94,IR_PYRETHROID_EXTENT,Percentage of sites for which pyrethroid resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4562,PUBLISHED,Published,,2001.0,2001,,AFR,Africa,,NGA,2001,2001,Nigeria,,44,44.00000,,,,,
95,IR_ORGANOCHLORINE_EXTENT,Percentage of sites for which organochlorine resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4563,PUBLISHED,Published,,2003.0,2003,,AFR,Africa,,NGA,2003,2003,Nigeria,,100,100.00000,,,,,
